"filename", "language", "Python", "sqlite3-editor-database", "comment", "blank", "total"
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\constants.py", "Python", 10, 0, 0, 2, 12
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\products_db.py", "Python", -5, 0, -2, -2, -9
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\products_schema.py", "Python", 16, 0, 0, 1, 17
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\schema.py", "Python", 13, 0, 2, 7, 22
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\inventory.sqlite", "sqlite3-editor-database", 0, 6, 0, 0, 6
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\DELETE ME.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\dashboard.py", "Python", -107, 0, 4, -13, -116
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\forms.py", "Python", 35, 0, 6, 13, 54
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\forms_OLD.py", "Python", 113, 0, 7, 18, 138
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\main_window.py", "Python", -7, 0, -1, 0, -8
"Total", "-", 68, 6, 16, 27, 117
