"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\__init__.py", "Python", 27, 0, 2, 29
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\add_forms.py", "Python", 43, 4, 12, 59
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\database.py", "Python", 44, 0, 17, 61
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\edit_forms.py", "Python", 115, 4, 19, 138
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\forms.py", "Python", 32, 2, 5, 39
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\grid_builder.py", "Python", 40, 82, 6, 128
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\schema.py", "Python", 60, 2, 17, 79
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\streamlit_crud_pkg\streamlit_crud\utils.py", "Python", 18, 12, 5, 35
"Total", "-", 379, 106, 83, 568
